"","A","B","RT_TYPE","DIRV_AM","DIRV_PM","A_subareaRP","B_subareaRP","scenario"
"270",714335,717024,6,604.00641,592.258,0,5,"tp3_bau_2050_121520"
"271",715511,713749,8,1222.20654,996.09241,2,0,"tp3_bau_2050_121520"
"272",715511,717143,6,234.65823,797.12024,2,0,"tp3_bau_2050_121520"
"273",717024,714335,6,330.74957,772.00482,5,0,"tp3_bau_2050_121520"
"274",717137,709650,1,11461.71191,21158.11719,1,0,"tp3_bau_2050_121520"
"275",717143,715511,6,994.80298,341.11011,0,2,"tp3_bau_2050_121520"
"276",718467,718620,6,1511.0835,1370.99585,5,0,"tp3_bau_2050_121520"
"277",718620,718467,6,1283.03845,1526.88452,0,5,"tp3_bau_2050_121520"
"278",720928,721585,3,5580.10205,6269.23193,0,5,"tp3_bau_2050_121520"
"279",721585,720928,3,6048.48242,6901.00146,5,0,"tp3_bau_2050_121520"
"280",721737,779011,3,8283.85547,5634.69873,5,0,"tp3_bau_2050_121520"
"281",722118,722193,8,1372.48572,4564.27881,2,0,"tp3_bau_2050_121520"
"282",722193,722118,8,5343.77686,2488.26636,0,2,"tp3_bau_2050_121520"
"283",722261,721615,3,4353.45508,9182.46875,0,5,"tp3_bau_2050_121520"
"284",722735,724032,2,4132.14014,4248.07471,3,0,"tp3_bau_2050_121520"
"285",722834,723129,1,4345.95752,13857.14258,2,0,"tp3_bau_2050_121520"
"286",722843,139,99,951.26379,898.44977,5,0,"tp3_bau_2050_121520"
"287",723183,722882,1,14630.35938,6796.16309,0,2,"tp3_bau_2050_121520"
"288",723650,724606,3,5534.49561,3845.62817,5,0,"tp3_bau_2050_121520"
"289",724032,722735,2,4323.77637,4949.13965,0,3,"tp3_bau_2050_121520"
"290",724456,728525,1,28449.65234,23328.44141,3,0,"tp3_bau_2050_121520"
"291",724552,723472,3,2382.71851,5977.41162,0,5,"tp3_bau_2050_121520"
"292",726744,727320,6,1203.41052,1139.5426,3,0,"tp3_bau_2050_121520"
"293",727320,726744,6,916.14868,1434.06531,0,3,"tp3_bau_2050_121520"
"294",730515,724742,1,19680.76758,29039.4375,0,3,"tp3_bau_2050_121520"
"295",139,722843,99,819.41443,929.35736,0,5,"tp3_c_2050_121520"
"296",333,714045,99,963.51691,801.88129,0,1,"tp3_c_2050_121520"
